#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4"
"#Areas (Âµm^2): 3727.84, 2881.22, 2092.84, 796.25"
Selection,X,Y
Selection 1,257.61,78.76
Selection 1,264.55,59.37
Selection 1,264.55,59.37
Selection 1,271.81,50.60
Selection 1,282.38,49.19
Selection 1,295.01,48.17
Selection 1,307.95,46.03
Selection 1,330.48,51.86
Selection 1,328.58,63.61
Selection 1,323.06,78.42
Selection 1,315.89,94.40
Selection 1,307.03,105.27
Selection 1,295.96,113.18
Selection 1,277.21,114.15
Selection 1,263.50,108.34
Selection 1,258.38,95.82
Selection 1,257.61,78.76
Selection 2,76.22,260.34
Selection 2,91.86,261.37
Selection 2,97.82,262.19
Selection 2,107.30,267.53
Selection 2,110.53,277.87
Selection 2,99.23,289.98
Selection 2,86.23,297.42
Selection 2,83.73,308.56
Selection 2,79.53,318.37
Selection 2,67.71,323.96
Selection 2,57.03,322.93
Selection 2,46.54,315.22
Selection 2,43.42,305.10
Selection 2,43.69,292.88
Selection 2,47.37,270.93
Selection 2,59.72,264.40
Selection 2,76.22,260.34
Selection 3,278.80,308.40
Selection 3,298.28,321.66
Selection 3,299.50,328.34
Selection 3,298.39,347.03
Selection 3,294.04,360.02
Selection 3,282.90,359.04
Selection 3,273.69,356.44
Selection 3,259.98,348.27
Selection 3,251.82,340.81
Selection 3,241.32,330.12
Selection 3,248.28,315.83
Selection 3,259.11,311.73
Selection 3,278.80,308.40
Selection 4,341.25,188.14
Selection 4,349.95,181.19
Selection 4,354.50,184.81
Selection 4,361.28,202.06
Selection 4,364.72,218.08
Selection 4,354.74,231.88
Selection 4,342.52,219.97
Selection 4,341.72,206.75
Selection 4,341.25,188.14
